,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
144,152,CLEVELAND & WHITBY,North East,0.43,0.35,0.22,,,53935.0,,,,,,,,,,,,,,,,,49568,0.8237581639605803
145,153,CLITHEROE,North West,0.48,0.28,0.24,,,67678.0,,,,,,,,,,,,,,,,,43136,0.8365039657145074
146,154,COATBRIDGE & AIRDRIE,Scotland,0.29,0.54,,,0.17,54678.0,,,,,,,,,,,,,,,,,46068,0.7775714816190122
147,155,COLCHESTER,Eastern,0.43,0.33,0.23,,,53367.0,,,,,,,,,,,,,,,,,67019,0.826028545369389
148,156,COLNE VALLEY,Yorkshire and the Humber,0.21,0.39,0.4,,,40438.0,,,,,,,,,,,,,,,,,52113,0.8643291924435672
149,157,CONSETT,North East,0.2,0.61,0.19,,,40795.0,,,,,,,,,,,,,,,,,44843,0.7649517246085088
150,158,CONWAY,Wales,0.4,0.29,0.2,0.1,,55028.0,,,,,,,,,,,,,,,,,41726,0.81234303514066
151,159,CORNWALL NORTH,South West,0.38,0.04,0.58,,,52550.0,,,,,,,,,,,,,,,,,44331,0.8628737153534725
152,160,COVENTRY NORTH EAST,West Midlands,0.32,0.64,,,,39672.0,,,,,,,,,,,,,,2170.0,0.05,,47735,0.7547154895729576
153,161,COVENTRY NORTH WEST,West Midlands,0.4,0.57,,,,50736.0,,,,,,,,,,,,,,1542.0,0.04,,39062,0.7978349673202615
154,162,COVENTRY SOUTH EAST,West Midlands,0.3,0.58,0.12,,,55469.0,,,,,,,,,,,,,,,,,38155,0.7553202019202218
155,163,COVENTRY SOUTH WEST,West Midlands,0.4,0.4,0.2,,,47250.0,,,,,,,,,,,,,,,,,56805,0.8414807572660208
156,164,CREWE,North West,0.35,0.47,0.18,,,60003.0,,,,,,,,,,,,,,,,,45708,0.7775056133904878
157,165,CROSBY,North West,0.52,0.27,0.21,,,50796.0,,,,,,,,,,,,,,,,,62310,0.8006733314486906
158,166,CROYDON CENTRAL,London,0.4,0.38,0.22,,,55104.0,,,,,,,,,,,,,,,,,52738,0.7973692168128212
159,167,CROYDON NORTH EAST,London,0.43,0.34,0.23,,,52160.0,,,,,,,,,,,,,,,,,45629,0.7873720902141464
160,168,CROYDON NORTH WEST,London,0.42,0.35,0.23,,,46380.0,,,,,,,,,,,,,,,,,42410,0.7744845596157709
161,169,CROYDON SOUTH,London,0.59,0.14,0.27,,,44133.0,,,,,,,,,,,,,,,,,48928,0.823052466903292
162,170,DAGENHAM,London,0.25,0.73,,,,42468.0,,,,,,,,,,,,,,1169.0,0.02,,49209,0.710199310135808
163,171,DARLINGTON,North East,0.37,0.41,0.23,,,51451.0,,,,,,,,,,,,,,,,,50421,0.8078475982952543
164,172,DARTFORD,South East,0.34,0.42,0.22,,,62754.0,,,,,,,,,,,,,,945.0,0.02,,47170,0.8344389605335315
165,173,DARWEN,North West,0.45,0.29,0.27,,,43759.0,,,,,,,,,,,,,,,,,56740,0.8105251128506943
166,174,DAVENTRY,East Midlands,0.45,0.31,0.24,,,21902.0,,,,,,,,,,,,,,,,,69599,0.8432664930029684
167,175,DEARNE VALLEY,Yorkshire and the Humber,0.14,0.69,0.16,,,41761.0,,,,,,,,,,,,,,906.0,0.02,,50456,0.8047850705797911
168,176,DENBIGH,Wales,0.42,0.2,0.3,0.08,,71590.0,,,,,,,,,,,,,,,,,50745,0.8057575661342056
169,177,DEPTFORD,London,0.26,0.54,0.2,,,45168.0,,,,,,,,,,,,,,,,,41950,0.6910696341202247
170,178,DERBY NORTH,East Midlands,0.38,0.4,0.22,,,49439.0,,,,,,,,,,,,,,,,,64760,0.7911647567620397
171,179,DERBY SOUTH,East Midlands,0.35,0.47,0.18,,,50864.0,,,,,,,,,,,,,,,,,56204,0.762336217887855
172,180,DERBYSHIRE NORTH EAST,East Midlands,0.43,0.57,,,,44319.0,,,,,,,,,,,,,,,,,51922,0.7835272458388036
173,181,DERBYSHIRE SOUTH EAST,East Midlands,0.44,0.37,0.18,,,57500.0,,,,,,,,,,,,,,,,,45375,0.8510578437992348
174,182,DERBYSHIRE WEST,East Midlands,0.49,0.23,0.28,,,53666.0,,,,,,,,,,,,,,,,,40951,0.6179697285224923
175,183,DEVIZES,South West,0.45,0.29,0.27,,,39946.0,,,,,,,,,,,,,,,,,62611,0.8128976136688219
176,184,DEVON NORTH,South West,0.36,0.1,0.54,,,44627.0,,,,,,,,,,,,,,,,,63172,0.8649314730889823
177,185,DEVON WEST,South West,0.5,0.11,0.39,,,58014.0,,,,,,,,,,,,,,,,,46869,0.8226095197978096
178,186,DEWSBURY,Yorkshire and the Humber,0.32,0.42,0.26,,,51619.0,,,,,,,,,,,,,,,,,49859,0.8174812677280254
179,188,DON VALLEY,Yorkshire and the Humber,0.3,0.7,,,,26457.0,,,,,,,,,,,,,,,,,69529,0.7910191358165146
180,187,DONCASTER,Yorkshire and the Humber,0.37,0.48,0.16,,,32745.0,,,,,,,,,,,,,,,,,48096,0.8167923374770736
181,189,DORKING,South East,0.51,0.19,0.3,,,49744.0,,,,,,,,,,,,,,,,,48254,0.8262388274374165
182,190,DORSET NORTH ,South West,0.51,0.1,0.39,,,45859.0,,,,,,,,,,,,,,,,,59725,0.8443128163080664
183,191,DORSET SOUTH,South West,0.47,0.32,0.21,,,61900.0,,,,,,,,,,,,,,,,,57391,0.8219497873193646
184,192,DORSET WEST,South West,0.49,0.19,0.32,,,47488.0,,,,,,,,,,,,,,,,,44150,0.8311996385269975
185,193,DOVER & DEAL,South East,0.43,0.35,0.2,,,40019.0,,,,,,,,,,,,,,661.0,0.01,,62709,0.8469267857866375
